[2024-12-06T17:52:46.426+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:46.435+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:46.445+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-08-02 06:00:00+00:00
[2024-12-06T17:52:46.449+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2460) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:72} INFO - Started process 2461 to run task
[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-08-02T06:00:00+00:00', '--job-id', '64', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpjodmkcm5']
[2024-12-06T17:52:46.452+0000] {standard_task_runner.py:105} INFO - Job 64: Subtask wget
[2024-12-06T17:52:46.729+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:48.562+0000] {subprocess.py:106} INFO -  19400K .......... .......... .......... .......... .......... 39% 71.6M 1s
[2024-12-06T17:52:48.563+0000] {subprocess.py:106} INFO -  19450K .......... .......... .......... .......... .......... 39% 70.5M 1s
[2024-12-06T17:52:48.565+0000] {subprocess.py:106} INFO -  19500K .......... .......... .......... .......... .......... 39%  151M 1s
[2024-12-06T17:52:48.565+0000] {subprocess.py:106} INFO -  19550K .......... .......... .......... .......... .......... 39% 98.0M 1s
[2024-12-06T17:52:48.566+0000] {subprocess.py:106} INFO -  19600K .......... .......... .......... .......... .......... 39% 89.0M 1s
[2024-12-06T17:52:48.568+0000] {subprocess.py:106} INFO -  19650K .......... .......... .......... .......... .......... 39%  106M 1s
[2024-12-06T17:52:48.569+0000] {subprocess.py:106} INFO -  19700K .......... .......... .......... .......... .......... 39% 88.2M 1s
[2024-12-06T17:52:48.570+0000] {subprocess.py:106} INFO -  19750K .......... .......... .......... .......... .......... 39%  117M 1s
[2024-12-06T17:52:48.571+0000] {subprocess.py:106} INFO -  19800K .......... .......... .......... .......... .......... 39% 56.1M 1s
[2024-12-06T17:52:48.572+0000] {subprocess.py:106} INFO -  19850K .......... .......... .......... .......... .......... 39% 63.1M 1s
[2024-12-06T17:52:48.572+0000] {subprocess.py:106} INFO -  19900K .......... .......... .......... .......... .......... 40% 92.0M 1s
[2024-12-06T17:52:48.574+0000] {subprocess.py:106} INFO -  19950K .......... .......... .......... .......... .......... 40%  230M 1s
[2024-12-06T17:52:48.575+0000] {subprocess.py:106} INFO -  20000K .......... .......... .......... .......... .......... 40% 82.0M 1s
[2024-12-06T17:52:48.576+0000] {subprocess.py:106} INFO -  20050K .......... .......... .......... .......... .......... 40%  267M 1s
[2024-12-06T17:52:48.576+0000] {subprocess.py:106} INFO -  20100K .......... .......... .......... .......... .......... 40% 64.3M 1s
[2024-12-06T17:52:48.577+0000] {subprocess.py:106} INFO -  20150K .......... .......... .......... .......... .......... 40%  133M 1s
[2024-12-06T17:52:48.577+0000] {subprocess.py:106} INFO -  20200K .......... .......... .......... .......... .......... 40% 83.0M 1s
[2024-12-06T17:52:48.579+0000] {subprocess.py:106} INFO -  20250K .......... .......... .......... .......... .......... 40% 91.4M 1s
[2024-12-06T17:52:48.580+0000] {subprocess.py:106} INFO -  20300K .......... .......... .......... .......... .......... 40% 95.4M 1s
[2024-12-06T17:52:48.582+0000] {subprocess.py:106} INFO -  20350K .......... .......... .......... .......... .......... 40%  102M 1s
[2024-12-06T17:52:48.583+0000] {subprocess.py:106} INFO -  20400K .......... .......... .......... .......... .......... 41% 61.8M 1s
[2024-12-06T17:52:48.583+0000] {subprocess.py:106} INFO -  20450K .......... .......... .......... .......... .......... 41%  135M 1s
[2024-12-06T17:52:48.585+0000] {subprocess.py:106} INFO -  20500K .......... .......... .......... .......... .......... 41% 92.5M 1s
[2024-12-06T17:52:48.586+0000] {subprocess.py:106} INFO -  20550K .......... .......... .......... .......... .......... 41%  110M 1s
[2024-12-06T17:52:48.587+0000] {subprocess.py:106} INFO -  20600K .......... .......... .......... .......... .......... 41% 65.3M 1s
[2024-12-06T17:52:48.588+0000] {subprocess.py:106} INFO -  20650K .......... .......... .......... .......... .......... 41%  103M 1s
[2024-12-06T17:52:48.589+0000] {subprocess.py:106} INFO -  20700K .......... .......... .......... .......... .......... 41%  141M 1s
[2024-12-06T17:52:48.590+0000] {subprocess.py:106} INFO -  20750K .......... .......... .......... .......... .......... 41% 95.1M 1s
[2024-12-06T17:52:48.591+0000] {subprocess.py:106} INFO -  20800K .......... .......... .......... .......... .......... 41% 68.1M 1s
[2024-12-06T17:52:48.592+0000] {subprocess.py:106} INFO -  20850K .......... .......... .......... .......... .......... 41%  101M 1s
[2024-12-06T17:52:48.594+0000] {subprocess.py:106} INFO -  20900K .......... .......... .......... .......... .......... 42% 90.8M 1s
[2024-12-06T17:52:48.595+0000] {subprocess.py:106} INFO -  20950K .......... .......... .......... .......... .......... 42%  135M 1s
[2024-12-06T17:52:48.596+0000] {subprocess.py:106} INFO -  21000K .......... .......... .......... .......... .......... 42% 77.3M 1s
[2024-12-06T17:52:48.596+0000] {subprocess.py:106} INFO -  21050K .......... .......... .......... .......... .......... 42%  123M 1s
[2024-12-06T17:52:48.597+0000] {subprocess.py:106} INFO -  21100K .......... .......... .......... .......... .......... 42% 75.2M 1s
[2024-12-06T17:52:48.598+0000] {subprocess.py:106} INFO -  21150K .......... .......... .......... .......... .......... 42%  119M 1s
[2024-12-06T17:52:48.599+0000] {subprocess.py:106} INFO -  21200K .......... .......... .......... .......... .......... 42% 92.2M 1s
[2024-12-06T17:52:48.600+0000] {subprocess.py:106} INFO -  21250K .......... .......... .......... .......... .......... 42% 82.8M 1s
[2024-12-06T17:52:48.601+0000] {subprocess.py:106} INFO -  21300K .......... .......... .......... .......... .......... 42%  126M 1s
[2024-12-06T17:52:48.602+0000] {subprocess.py:106} INFO -  21350K .......... .......... .......... .......... .......... 42% 86.4M 1s
[2024-12-06T17:52:48.602+0000] {subprocess.py:106} INFO -  21400K .......... .......... .......... .......... .......... 43% 68.4M 1s
[2024-12-06T17:52:48.603+0000] {subprocess.py:106} INFO -  21450K .......... .......... .......... .......... .......... 43%  134M 1s
[2024-12-06T17:52:48.604+0000] {subprocess.py:106} INFO -  21500K .......... .......... .......... .......... .......... 43% 87.9M 1s
[2024-12-06T17:52:48.605+0000] {subprocess.py:106} INFO -  21550K .......... .......... .......... .......... .......... 43%  104M 1s
[2024-12-06T17:52:48.606+0000] {subprocess.py:106} INFO -  21600K .......... .......... .......... .......... .......... 43% 85.6M 1s
[2024-12-06T17:52:48.607+0000] {subprocess.py:106} INFO -  21650K .......... .......... .......... .......... .......... 43%  111M 1s
[2024-12-06T17:52:48.609+0000] {subprocess.py:106} INFO -  21700K .......... .......... .......... .......... .......... 43% 97.3M 1s
[2024-12-06T17:52:48.610+0000] {subprocess.py:106} INFO -  21750K .......... .......... .......... .......... .......... 43% 52.8M 1s
[2024-12-06T17:52:48.611+0000] {subprocess.py:106} INFO -  21800K .......... .......... .......... .......... .......... 43%  184M 1s
[2024-12-06T17:52:48.612+0000] {subprocess.py:106} INFO -  21850K .......... .......... .......... .......... .......... 43%  109M 1s
[2024-12-06T17:52:48.613+0000] {subprocess.py:106} INFO -  21900K .......... .......... .......... .......... .......... 44% 73.5M 1s
[2024-12-06T17:52:48.614+0000] {subprocess.py:106} INFO -  21950K .......... .......... .......... .......... .......... 44% 96.8M 1s
[2024-12-06T17:52:48.614+0000] {subprocess.py:106} INFO -  22000K .......... .......... .......... .......... .......... 44%  132M 1s
[2024-12-06T17:52:48.615+0000] {subprocess.py:106} INFO -  22050K .......... .......... .......... .......... .......... 44%  114M 1s
[2024-12-06T17:52:48.616+0000] {subprocess.py:106} INFO -  22100K .......... .......... .......... .......... .......... 44% 70.9M 1s
[2024-12-06T17:52:48.616+0000] {subprocess.py:106} INFO -  22150K .......... .......... .......... .......... .......... 44% 67.3M 1s
[2024-12-06T17:52:48.617+0000] {subprocess.py:106} INFO -  22200K .......... .......... .......... .......... .......... 44%  131M 1s
[2024-12-06T17:52:48.618+0000] {subprocess.py:106} INFO -  22250K .......... .......... .......... .......... .......... 44% 96.8M 1s
[2024-12-06T17:52:48.619+0000] {subprocess.py:106} INFO -  22300K .......... .......... .......... .......... .......... 44%  109M 1s
[2024-12-06T17:52:48.620+0000] {subprocess.py:106} INFO -  22350K .......... .......... .......... .......... .......... 44% 73.7M 1s
[2024-12-06T17:52:48.621+0000] {subprocess.py:106} INFO -  22400K .......... .......... .......... .......... .......... 45% 93.1M 1s
[2024-12-06T17:52:48.622+0000] {subprocess.py:106} INFO -  22450K .......... .......... .......... .......... .......... 45%  102M 1s
[2024-12-06T17:52:48.624+0000] {subprocess.py:106} INFO -  22500K .......... .......... .......... .......... .......... 45% 92.1M 1s
[2024-12-06T17:52:48.626+0000] {subprocess.py:106} INFO -  22550K .......... .......... .......... .......... .......... 45% 92.3M 1s
[2024-12-06T17:52:48.627+0000] {subprocess.py:106} INFO -  22600K .......... .......... .......... .......... .......... 45% 77.5M 1s
[2024-12-06T17:52:48.629+0000] {subprocess.py:106} INFO -  22650K .......... .......... .......... .......... .......... 45%  124M 1s
[2024-12-06T17:52:48.631+0000] {subprocess.py:106} INFO -  22700K .......... .......... .......... .......... .......... 45% 86.8M 1s
[2024-12-06T17:52:48.633+0000] {subprocess.py:106} INFO -  22750K .......... .......... .......... .......... .......... 45% 77.9M 1s
[2024-12-06T17:52:48.634+0000] {subprocess.py:106} INFO -  22800K .......... .......... .......... .......... .......... 45%  117M 1s
[2024-12-06T17:52:48.634+0000] {subprocess.py:106} INFO -  22850K .......... .......... .......... .......... .......... 45%  138M 1s
[2024-12-06T17:52:48.636+0000] {subprocess.py:106} INFO -  22900K .......... .......... .......... .......... .......... 46% 60.6M 1s
[2024-12-06T17:52:48.637+0000] {subprocess.py:106} INFO -  22950K .......... .......... .......... .......... .......... 46% 81.1M 1s
[2024-12-06T17:52:48.640+0000] {subprocess.py:106} INFO -  23000K .......... .......... .......... .......... .......... 46%  211M 1s
[2024-12-06T17:52:48.640+0000] {subprocess.py:106} INFO -  23050K .......... .......... .......... .......... .......... 46% 78.7M 1s
[2024-12-06T17:52:48.640+0000] {subprocess.py:106} INFO -  23100K .......... .......... .......... .......... .......... 46% 92.2M 1s
[2024-12-06T17:52:48.640+0000] {subprocess.py:106} INFO -  23150K .......... .......... .......... .......... .......... 46% 88.3M 1s
[2024-12-06T17:52:48.641+0000] {subprocess.py:106} INFO -  23200K .......... .......... .......... .......... .......... 46% 95.8M 1s
[2024-12-06T17:52:48.642+0000] {subprocess.py:106} INFO -  23250K .......... .......... .......... .......... .......... 46%  117M 1s
[2024-12-06T17:52:48.642+0000] {subprocess.py:106} INFO -  23300K .......... .......... .......... .......... .......... 46% 76.3M 1s
[2024-12-06T17:52:48.643+0000] {subprocess.py:106} INFO -  23350K .......... .......... .......... .......... .......... 46% 78.7M 1s
[2024-12-06T17:52:48.643+0000] {subprocess.py:106} INFO -  23400K .......... .......... .......... .......... .......... 47%  103M 1s
[2024-12-06T17:52:48.643+0000] {subprocess.py:106} INFO -  23450K .......... .......... .......... .......... .......... 47%  152M 1s
[2024-12-06T17:52:48.643+0000] {subprocess.py:106} INFO -  23500K .......... .......... .......... .......... .......... 47% 78.7M 1s
[2024-12-06T17:52:48.644+0000] {subprocess.py:106} INFO -  23550K .......... .......... .......... .......... .......... 47%  123M 1s
[2024-12-06T17:52:48.644+0000] {subprocess.py:106} INFO -  23600K .......... .......... .......... .......... .......... 47% 77.7M 1s
[2024-12-06T17:52:48.644+0000] {subprocess.py:106} INFO -  23650K .......... .......... .......... .......... .......... 47% 71.7M 1s
[2024-12-06T17:52:48.645+0000] {subprocess.py:106} INFO -  23700K .......... .......... .......... .......... .......... 47%  105M 1s
[2024-12-06T17:52:48.645+0000] {subprocess.py:106} INFO -  23750K .......... .......... .......... .......... .......... 47%  106M 1s
[2024-12-06T17:52:48.645+0000] {subprocess.py:106} INFO -  23800K .......... .......... .......... .......... .......... 47%  130M 1s
[2024-12-06T17:52:48.645+0000] {subprocess.py:106} INFO -  23850K .......... .......... .......... .......... .......... 47% 68.4M 1s
[2024-12-06T17:52:48.645+0000] {subprocess.py:106} INFO -  23900K .......... .......... .......... .......... .......... 48%  101M 1s
[2024-12-06T17:52:48.645+0000] {subprocess.py:106} INFO -  23950K .......... .......... .......... .......... .......... 48%  123M 1s
[2024-12-06T17:52:48.645+0000] {subprocess.py:106} INFO -  24000K .......... .......... .......... .......... .......... 48% 71.0M 1s
[2024-12-06T17:52:48.646+0000] {subprocess.py:106} INFO -  24050K .......... .......... .......... .......... .......... 48%  101M 1s
[2024-12-06T17:52:48.646+0000] {subprocess.py:106} INFO -  24100K .......... .......... .......... .......... .......... 48% 81.6M 1s
[2024-12-06T17:52:48.646+0000] {subprocess.py:106} INFO -  24150K .......... .......... .......... .......... .......... 48% 99.9M 1s
[2024-12-06T17:52:48.646+0000] {subprocess.py:106} INFO -  24200K .......... .......... .......... .......... .......... 48%  105M 1s
[2024-12-06T17:52:48.646+0000] {subprocess.py:106} INFO -  24250K .......... .......... .......... .......... .......... 48% 69.3M 1s
[2024-12-06T17:52:48.646+0000] {subprocess.py:106} INFO -  24300K .......... .......... .......... .......... .......... 48%  120M 1s
[2024-12-06T17:52:48.646+0000] {subprocess.py:106} INFO -  24350K .......... .......... .......... .......... .......... 48% 92.4M 1s
[2024-12-06T17:52:48.647+0000] {subprocess.py:106} INFO -  24400K .......... .......... .......... .......... .......... 49%  111M 1s
[2024-12-06T17:52:48.647+0000] {subprocess.py:106} INFO -  24450K .......... .......... .......... .......... .......... 49%  115M 1s
[2024-12-06T17:52:48.647+0000] {subprocess.py:106} INFO -  24500K .......... .......... .......... .......... .......... 49% 66.3M 1s
[2024-12-06T17:52:48.647+0000] {subprocess.py:106} INFO -  24550K .......... .......... .......... .......... .......... 49%  101M 1s
[2024-12-06T17:52:48.647+0000] {subprocess.py:106} INFO -  24600K .......... .......... .......... .......... .......... 49% 88.6M 1s
[2024-12-06T17:52:48.647+0000] {subprocess.py:106} INFO -  24650K .......... .......... .......... .......... .......... 49% 94.6M 1s
[2024-12-06T17:52:48.647+0000] {subprocess.py:106} INFO -  24700K .......... .......... .......... .......... .......... 49%  104M 1s
[2024-12-06T17:52:48.647+0000] {subprocess.py:106} INFO -  24750K .......... .......... .......... .......... .......... 49% 80.9M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  24800K .......... .......... .......... .......... .......... 49% 86.5M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  24850K .......... .......... .......... .......... .......... 49%  101M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  24900K .......... .......... .......... .......... .......... 50% 91.5M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  24950K .......... .......... .......... .......... .......... 50% 87.2M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  25000K .......... .......... .......... .......... .......... 50% 87.0M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  25050K .......... .......... .......... .......... .......... 50%  128M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  25100K .......... .......... .......... .......... .......... 50% 96.6M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  25150K .......... .......... .......... .......... .......... 50% 75.9M 1s
[2024-12-06T17:52:48.648+0000] {subprocess.py:106} INFO -  25200K .......... .......... .......... .......... .......... 50%  141M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25250K .......... .......... .......... .......... .......... 50% 71.7M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25300K .......... .......... .......... .......... .......... 50% 57.7M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25350K .......... .......... .......... .......... .......... 50%  229M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25400K .......... .......... .......... .......... .......... 51% 89.3M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25450K .......... .......... .......... .......... .......... 51%  114M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25500K .......... .......... .......... .......... .......... 51% 62.8M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25550K .......... .......... .......... .......... .......... 51%  131M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25600K .......... .......... .......... .......... .......... 51% 94.0M 1s
[2024-12-06T17:52:48.649+0000] {subprocess.py:106} INFO -  25650K .......... .......... .......... .......... .......... 51% 49.6M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  25700K .......... .......... .......... .......... .......... 51%  118M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  25750K .......... .......... .......... .......... .......... 51%  197M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  25800K .......... .......... .......... .......... .......... 51%  110M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  25850K .......... .......... .......... .......... .......... 51% 98.2M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  25900K .......... .......... .......... .......... .......... 52% 98.5M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  25950K .......... .......... .......... .......... .......... 52% 98.8M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  26000K .......... .......... .......... .......... .......... 52%  106M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  26050K .......... .......... .......... .......... .......... 52% 75.4M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  26100K .......... .......... .......... .......... .......... 52% 86.7M 1s
[2024-12-06T17:52:48.650+0000] {subprocess.py:106} INFO -  26150K .......... .......... .......... .......... .......... 52% 89.4M 1s
[2024-12-06T17:52:48.651+0000] {subprocess.py:106} INFO -  26200K .......... .......... .......... .......... .......... 52% 70.5M 1s
[2024-12-06T17:52:48.651+0000] {subprocess.py:106} INFO -  26250K .......... .......... .......... .......... .......... 52%  114M 1s
[2024-12-06T17:52:48.651+0000] {subprocess.py:106} INFO -  26300K .......... .......... .......... .......... .......... 52% 89.3M 1s
[2024-12-06T17:52:48.651+0000] {subprocess.py:106} INFO -  26350K .......... .......... .......... .......... .......... 52%  119M 1s
[2024-12-06T17:52:48.651+0000] {subprocess.py:106} INFO -  26400K .......... .......... .......... .......... .......... 53% 89.4M 1s
[2024-12-06T17:52:48.651+0000] {subprocess.py:106} INFO -  26450K .......... .......... .......... .......... .......... 53%  109M 1s
[2024-12-06T17:52:48.651+0000] {subprocess.py:106} INFO -  26500K .......... .......... .......... .......... .......... 53% 79.8M 1s
[2024-12-06T17:52:48.651+0000] {subprocess.py:106} INFO -  26550K .......... .......... .......... .......... .......... 53% 75.1M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  26600K .......... .......... .......... .......... .......... 53%  148M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  26650K .......... .......... .......... .......... .......... 53% 83.7M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  26700K .......... .......... .......... .......... .......... 53%  104M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  26750K .......... .......... .......... .......... .......... 53% 72.6M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  26800K .......... .......... .......... .......... .......... 53%  140M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  26850K .......... .......... .......... .......... .......... 53% 85.1M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  26900K .......... .......... .......... .......... .......... 54%  101M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  26950K .......... .......... .......... .......... .......... 54% 75.7M 1s
[2024-12-06T17:52:48.652+0000] {subprocess.py:106} INFO -  27000K .......... .......... .......... .......... .......... 54%  177M 1s
[2024-12-06T17:52:48.653+0000] {subprocess.py:106} INFO -  27050K .......... .......... .......... .......... .......... 54% 90.9M 1s
[2024-12-06T17:52:48.653+0000] {subprocess.py:106} INFO -  27100K .......... .......... .......... .......... .......... 54%  174M 1s
[2024-12-06T17:52:48.653+0000] {subprocess.py:106} INFO -  27150K .......... .......... .......... .......... .......... 54%  104M 1s
[2024-12-06T17:52:48.653+0000] {subprocess.py:106} INFO -  27200K .......... .......... .......... .......... .......... 54% 70.6M 1s
[2024-12-06T17:52:48.653+0000] {subprocess.py:106} INFO -  27250K .......... .......... .......... .......... .......... 54%  177M 1s
[2024-12-06T17:52:48.653+0000] {subprocess.py:106} INFO -  27300K .......... .......... .......... .......... .......... 54% 44.2M 1s
[2024-12-06T17:52:48.653+0000] {subprocess.py:106} INFO -  27350K .......... .......... .......... .......... .......... 54% 80.4M 1s
[2024-12-06T17:52:48.654+0000] {subprocess.py:106} INFO -  27400K .......... .......... .......... .......... .......... 55%  186M 1s
[2024-12-06T17:52:48.654+0000] {subprocess.py:106} INFO -  27450K .......... .......... .......... .......... .......... 55%  110M 1s
[2024-12-06T17:52:48.684+0000] {subprocess.py:106} INFO -  27500K .......... .......... .......... .......... .......... 55% 1.17M 1s
[2024-12-06T17:52:48.690+0000] {subprocess.py:106} INFO -  27550K .......... .......... .......... .......... .......... 55%  202M 1s
[2024-12-06T17:52:48.692+0000] {subprocess.py:106} INFO -  27600K .......... .......... .......... .......... .......... 55%  161M 1s
[2024-12-06T17:52:48.697+0000] {subprocess.py:106} INFO -  27650K .......... .......... .......... .......... .......... 55%  127M 1s
[2024-12-06T17:52:48.697+0000] {subprocess.py:106} INFO -  27700K .......... .......... .......... .......... .......... 55%  110M 1s
[2024-12-06T17:52:48.698+0000] {subprocess.py:106} INFO -  27750K .......... .......... .......... .......... .......... 55%  195M 1s
[2024-12-06T17:52:48.698+0000] {subprocess.py:106} INFO -  27800K .......... .......... .......... .......... .......... 55%  154M 1s
[2024-12-06T17:52:48.698+0000] {subprocess.py:106} INFO -  27850K .......... .......... .......... .......... .......... 55%  238M 1s
[2024-12-06T17:52:48.698+0000] {subprocess.py:106} INFO -  27900K .......... .......... .......... .......... .......... 56%  160M 1s
[2024-12-06T17:52:48.698+0000] {subprocess.py:106} INFO -  27950K .......... .......... .......... .......... .......... 56%  180M 1s
[2024-12-06T17:52:48.698+0000] {subprocess.py:106} INFO -  28000K .......... .......... .......... .......... .......... 56%  196M 1s
[2024-12-06T17:52:48.699+0000] {subprocess.py:106} INFO -  28050K .......... .......... .......... .......... .......... 56%  261M 1s
[2024-12-06T17:52:48.699+0000] {subprocess.py:106} INFO -  28100K .......... .......... .......... .......... .......... 56%  167M 1s
[2024-12-06T17:52:48.699+0000] {subprocess.py:106} INFO -  28150K .......... .......... .......... .......... .......... 56%  210M 1s
[2024-12-06T17:52:48.699+0000] {subprocess.py:106} INFO -  28200K .......... .......... .......... .......... .......... 56%  239M 1s
[2024-12-06T17:52:48.699+0000] {subprocess.py:106} INFO -  28250K .......... .......... .......... .......... .......... 56%  220M 1s
[2024-12-06T17:52:48.699+0000] {subprocess.py:106} INFO -  28300K .......... .......... .......... .......... .......... 56%  217M 1s
[2024-12-06T17:52:48.699+0000] {subprocess.py:106} INFO -  28350K .......... .......... .......... .......... .......... 56%  181M 1s
[2024-12-06T17:52:48.699+0000] {subprocess.py:106} INFO -  28400K .......... .......... .......... .......... .......... 57%  182M 1s
[2024-12-06T17:52:48.700+0000] {subprocess.py:106} INFO -  28450K .......... .......... .......... .......... .......... 57%  180M 1s
[2024-12-06T17:52:48.700+0000] {subprocess.py:106} INFO -  28500K .......... .......... .......... .......... .......... 57%  135M 1s
[2024-12-06T17:52:48.700+0000] {subprocess.py:106} INFO -  28550K .......... .......... .......... .......... .......... 57%  226M 1s
[2024-12-06T17:52:48.700+0000] {subprocess.py:106} INFO -  28600K .......... .......... .......... .......... .......... 57%  230M 1s
[2024-12-06T17:52:48.700+0000] {subprocess.py:106} INFO -  28650K .......... .......... .......... .......... .......... 57%  181M 1s
[2024-12-06T17:52:48.700+0000] {subprocess.py:106} INFO -  28700K .......... .......... .......... .......... .......... 57%  233M 1s
[2024-12-06T17:52:48.701+0000] {subprocess.py:106} INFO -  28750K .......... .......... .......... .......... .......... 57%  155M 1s
[2024-12-06T17:52:48.701+0000] {subprocess.py:106} INFO -  28800K .......... .......... .......... .......... .......... 57%  225M 1s
[2024-12-06T17:52:48.701+0000] {subprocess.py:106} INFO -  28850K .......... .......... .......... .......... .......... 57%  191M 1s
[2024-12-06T17:52:48.701+0000] {subprocess.py:106} INFO -  28900K .......... .......... .......... .......... .......... 58%  223M 1s
[2024-12-06T17:52:48.701+0000] {subprocess.py:106} INFO -  28950K .......... .......... .......... .......... .......... 58%  250M 1s
[2024-12-06T17:52:48.701+0000] {subprocess.py:106} INFO -  29000K .......... .......... .......... .......... .......... 58%  244M 1s
[2024-12-06T17:52:48.701+0000] {subprocess.py:106} INFO -  29050K .......... .......... .......... .......... .......... 58%  254M 1s
[2024-12-06T17:52:48.702+0000] {subprocess.py:106} INFO -  29100K .......... .......... .......... .......... .......... 58%  219M 1s
[2024-12-06T17:52:48.702+0000] {subprocess.py:106} INFO -  29150K .......... .......... .......... .......... .......... 58%  201M 1s
[2024-12-06T17:52:48.702+0000] {subprocess.py:106} INFO -  29200K .......... .......... .......... .......... .......... 58%  233M 1s
[2024-12-06T17:52:48.702+0000] {subprocess.py:106} INFO -  29250K .......... .......... .......... .......... .......... 58%  228M 1s
[2024-12-06T17:52:48.702+0000] {subprocess.py:106} INFO -  29300K .......... .......... .......... .......... .......... 58%  277M 1s
[2024-12-06T17:52:48.702+0000] {subprocess.py:106} INFO -  29350K .......... .......... .......... .......... .......... 58%  259M 1s
[2024-12-06T17:52:48.702+0000] {subprocess.py:106} INFO -  29400K .......... .......... .......... .......... .......... 59%  274M 1s
[2024-12-06T17:52:48.703+0000] {subprocess.py:106} INFO -  29450K .......... .......... .......... .......... .......... 59%  253M 1s
[2024-12-06T17:52:48.703+0000] {subprocess.py:106} INFO -  29500K .......... .......... .......... .......... .......... 59%  197M 1s
[2024-12-06T17:52:48.703+0000] {subprocess.py:106} INFO -  29550K .......... .......... .......... .......... .......... 59%  295M 1s
[2024-12-06T17:52:48.703+0000] {subprocess.py:106} INFO -  29600K .......... .......... .......... .......... .......... 59%  272M 1s
[2024-12-06T17:52:48.703+0000] {subprocess.py:106} INFO -  29650K .......... .......... .......... .......... .......... 59%  213M 1s
[2024-12-06T17:52:48.703+0000] {subprocess.py:106} INFO -  29700K .......... .......... .......... .......... .......... 59%  249M 1s
[2024-12-06T17:52:48.703+0000] {subprocess.py:106} INFO -  29750K .......... .......... .......... .......... .......... 59%  306M 1s
